Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
13	0.106917664	2.4048622	8.772259	-3.2883263	7.46	9.976393	36.0	0.0	300.0	22285.0	0.053059523809523806	0.105778515	0.7662003	2.84605	-2.081073	2.2305186	3.2306619	19.385782	-1.9817328	-2.2997213e-08	-0.0111156935	-2.6448568e-08	-0.018446213	0.2657226	-0.066614464	8.4332075	-1.7162957	1.3579198	0.018027425	1.8700767	0.0	1.801655	0.009334049	420000	1712.9850742816925
14	0.03828491	2.7506917	7.4171963	-4.2966304	9.47	11.988707	57.0	0.0	300.0	23232.0	0.05162666666666667	-0.04553343	0.6736251	2.2457993	-2.3835876	1.567748	2.5775611	16.86535	-1.9426839	-5.7815948e-09	-0.010469578	-4.0690105e-09	-0.016833542	0.27264446	-0.04486692	11.147098	-1.7741938	1.3759472	0.01609087	1.8799243	0.0	1.7962949	0.008714607	450000	1840.5749249458313
15	0.6960086	2.5161138	6.6790514	-3.3406212	6.9	8.672369	34.0	0.0	300.0	23922.0	0.0498375	0.03826323	0.7485754	2.4919686	-2.5327718	1.8704476	2.7768328	16.066643	-2.0792985	-7.954371e-09	-0.010168918	-1.2207031e-08	-0.016724702	0.26259458	-0.05097294	7.7244563	-1.8412814	1.3920381	0.01271975	2.0514998	0.0	1.7964311	0.009375883	480000	1967.3516614437103
16	0.39344996	2.5793526	9.256769	-4.144677	9.64	14.394111	77.0	0.0	300.0	24886.0	0.04879607843137255	0.035940554	0.7217951	2.297374	-2.604939	1.6124829	2.4175282	15.304273	-1.4320693	6.6071095e-09	-0.011125048	4.0690105e-09	-0.014429667	0.33939624	-0.0734885	13.496625	-3.0894117	1.4047579	0.011366725	1.7405006	0.0	1.7978526	0.00851629	510000	2094.6771852970123
17	0.33164012	2.9508643	10.491617	-3.8843472	6.96	10.266373	42.0	0.0	300.0	25582.0	0.047374074074074075	-0.040548608	0.77804613	2.837885	-2.1440568	1.6386628	3.046894	21.008718	-1.6658186	8.067393e-09	-0.009688737	1.0172526e-08	-0.015035915	0.33725315	-0.09083098	8.4645605	-2.0971184	1.4161246	0.0084478855	1.9814599	0.0	1.7885317	0.009539365	540000	2221.554123401642
18	0.67836934	3.2612271	13.441584	-3.537239	7.82	9.081167	34.0	0.0	300.0	26364.0	0.04625263157894737	0.10293366	0.8792238	3.253289	-2.8936644	1.5847948	2.3645966	16.518614	-2.6604462	2.537259e-09	-0.009092859	6.1035155e-09	-0.01488037	0.44160917	-0.094637275	7.1062064	-1.0706649	1.4245725	0.006332159	2.139185	0.0	1.7739115	0.008293114	570000	2351.165302991867
19	0.582539	3.2850425	9.315	-4.535882	5.18	7.435563	35.0	0.0	300.0	26882.0	0.044803333333333334	0.06960668	0.8465234	3.0135036	-3.03923	1.3061373	2.1327448	13.311639	-1.3142122	-2.1569961e-09	-0.0073189563	-5.086263e-09	-0.008937523	0.38809368	-0.11359909	4.656853	-1.0218613	1.4309046	0.0027250051	2.7335129	0.0	1.7666836	0.00797035	600000	2482.648122549057
20	0.6561422	3.1448064	9.579031	-3.775906	6.61	9.124577	55.0	0.0	300.0	27543.0	0.043719047619047616	0.13166164	0.9471491	3.1841505	-3.3130655	1.3305956	1.979196	12.156134	-1.5592967	7.250256e-10	-0.008105962	4.0690105e-09	-0.013257448	0.4776092	-0.09545085	6.231025	-1.2879014	1.4336296	0.00036394596	2.5146239	0.0	1.7819788	0.009364511	630000	2611.614965200424
21	0.7972492	2.9649448	9.093555	-4.468004	8.63	11.0757885	41.0	0.0	300.0	28406.0	0.04303939393939394	0.12830713	0.88590324	2.823089	-2.8333662	1.7006269	2.4361157	15.336517	-1.7433116	-4.1241837e-09	-0.010151878	-2.0345052e-09	-0.01779016	0.4391571	-0.07699481	11.09565	-2.433815	1.4339936	-0.0005275011	1.8816838	0.0	1.7855566	0.008545226	660000	2739.562981367111
22	1.0974044	3.3643234	11.866734	-4.116759	7.79	9.933071	47.0	0.0	300.0	29185.0	0.042297101449275364	0.16706188	0.84703684	2.645718	-3.0810564	1.9208176	2.6652935	15.073707	-2.0932972	9.759497e-10	-0.00786504	1.0172526e-08	-0.013865792	0.57677495	-0.09945509	8.024456	-1.9141197	1.4334661	-0.001875639	2.4153504	0.0	1.7701565	0.0082673505	690000	2867.159196615219
