Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	0.7574289	2.9978094	7.441639	-4.1880455	9.0	11.3798065	48.0	0.0	300.0	22094.0	0.049097777777777775	0.018470218	0.73767114	2.323823	-2.2986243	1.6885568	2.6954396	17.893188	-2.6248376	4.986126e-09	-0.012362455	1.4241537e-08	-0.019297773	0.37487462	-0.08885324	9.314626	-1.7420006	1.4179974	0.02370596	1.5747876	0.0	1.7591548	0.008176327	450000	1609.0295433998108
15	0.8523555	2.9083312	8.531545	-3.4699254	7.02	10.191153	52.0	0.0	300.0	22796.0	0.04749166666666667	0.18114834	0.8070164	2.7899878	-2.4267917	1.8059354	2.5915496	16.20868	-0.6519034	-1.2109883e-08	-0.0082348995	-1.6276042e-08	-0.01286917	0.35736275	-0.056907356	8.028437	-1.1001058	1.4417033	0.022455454	2.032251	1.0	1.749001	0.006037435	480000	1710.0590415000916
16	0.6826096	2.8256388	9.329938	-3.638368	8.01	10.794902	52.0	0.0	300.0	23597.0	0.04626862745098039	0.10542866	0.7928175	2.5303397	-2.2453876	1.6883701	2.5744674	16.496428	-2.0291564	5.955556e-09	-0.009834676	1.6276042e-08	-0.014652742	0.38452917	-0.063372076	7.696254	-1.0597434	1.4641588	0.021731019	2.0111446	0.0	1.7514362	0.00899494	510000	1811.2370927333832
17	0.27866557	2.7871485	9.472665	-4.185071	5.72	8.51831	33.0	0.0	300.0	24169.0	0.044757407407407405	0.09596191	0.7697647	2.834019	-2.4973845	1.2160233	2.1322057	14.143221	-2.1598582	-3.6713477e-09	-0.0071304245	-2.0345052e-09	-0.011191964	0.3696013	-0.072440624	5.229156	-0.7226019	1.4858898	0.02016151	2.7498915	0.0	1.7416017	0.00812104	540000	1912.6073064804077
18	0.35529244	2.6953347	7.516197	-4.342775	5.84	9.560042	56.0	0.0	300.0	24753.0	0.04342631578947368	0.05827136	0.7272757	2.5880249	-2.914865	1.1407099	2.0129132	15.103665	-2.1218545	4.1083117e-10	-0.007999987	2.0345052e-09	-0.01271123	0.36038905	-0.06988633	6.881391	-1.3149972	1.5060513	0.018786907	2.4391356	0.0	1.7386822	0.007976037	570000	2014.3179383277893
19	0.50099206	3.061475	9.146674	-4.0682893	7.33	11.892901	72.0	0.0	300.0	25486.0	0.04247666666666667	0.14382012	0.8180265	2.7742321	-2.6981854	1.1244652	2.0057786	15.814375	-2.0642574	-1.7181911e-08	-0.007902019	-2.6448568e-08	-0.012323365	0.40439728	-0.0940949	11.726977	-2.3950548	1.5248382	0.018175244	1.8775893	1.0	1.740037	0.0060203695	600000	2120.398248195648
20	0.722663	3.196534	10.053522	-4.6032743	5.18	7.27651	33.0	0.0	300.0	26004.0	0.04127619047619047	0.16220085	0.8270722	3.0524023	-2.9428577	1.6315625	2.5858855	19.43504	-2.0877624	-5.5034874e-09	-0.009524743	-6.1035155e-09	-0.014982358	0.432954	-0.0870851	5.3458967	-1.4800272	1.5430135	0.016695976	2.1877575	0.0	1.7292495	0.0086264	630000	2225.4981038570404
21	0.73280364	2.80225	8.378453	-3.6688375	5.22	8.366098	40.0	0.0	300.0	26526.0	0.04019090909090909	0.2334699	0.9015384	3.0942628	-2.697683	1.4051347	2.0493798	13.719802	-1.7428185	-1.2008841e-10	-0.007434337	7.629395e-09	-0.011680878	0.49912837	-0.09128332	6.503982	-1.3564706	1.5597094	0.015362024	2.436296	0.0	1.7270854	0.0074304445	660000	2325.8991808891296
22	0.4808152	2.7966332	9.248784	-4.401745	6.38	9.445399	40.0	0.0	300.0	27164.0	0.039368115942028985	0.07554385	0.8571327	3.051057	-3.313417	1.0723403	1.6910138	12.342028	-1.6047848	6.6764905e-09	-0.010571761	1.2207031e-08	-0.015635964	0.47434473	-0.09460169	8.355778	-2.1605735	1.5750715	0.014671445	1.7727561	0.0	1.7241178	0.00817636	690000	2427.000857114792
23	0.9905782	3.3022075	11.416739	-4.078552	5.08	7.567933	35.0	0.0	300.0	27672.0	0.03843333333333333	0.2144471	0.8731395	3.0038788	-2.9481642	1.4857427	2.0240371	19.27346	-1.5084285	2.1755096e-09	-0.008016442	6.1035155e-09	-0.01121669	0.61630416	-0.1427679	5.5965304	-1.4873958	1.5897429	0.013447523	2.4665148	0.0	1.7248846	0.008275077	720000	2528.191392660141
24	0.8363133	2.8654344	10.031942	-4.45089	5.89	8.587077	35.0	0.0	300.0	28261.0	0.03768133333333333	0.2908529	0.8620066	3.031417	-3.0377095	1.4201924	2.024853	17.905098	-1.5424798	9.229687e-09	-0.00783004	6.1035155e-09	-0.011225754	0.48949066	-0.11881593	7.019547	-1.6830144	1.6031904	0.012709975	2.0659769	1.0	1.738514	0.0066646566	750000	2629.4905762672424
25	1.2995012	3.208146	9.238129	-3.9943593	5.31	8.524899	39.0	0.0	300.0	28792.0	0.036912820512820514	0.29309395	0.80229247	3.2318068	-2.6270056	1.2649959	1.5824653	12.78092	-1.3188967	4.7283057e-09	-0.0076746345	1.0172526e-08	-0.012244027	0.692444	-0.1789285	5.8388953	-1.1241083	1.6159004	0.011763573	2.505539	0.0	1.7384062	0.008754591	780000	2730.7125742435455
