Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	0.3032527	2.5091577	7.867738	-3.629254	8.54	12.528703	62.0	0.0	300.0	22461.0	0.04991333333333333	0.061086956	0.76149017	2.5266445	-2.6479461	1.7100528	2.5735998	18.100965	-1.3905473	1.1049961e-09	-0.011511885	6.1035155e-09	-0.018900152	0.28040084	-0.06894457	8.945455	-1.3069005	1.4421293	0.02986443	1.7375064	0.0	1.7954376	0.00871131	450000	1273.428383588791
15	0.41533917	2.4643936	7.428495	-3.3484476	6.36	9.58699	47.0	0.0	300.0	23097.0	0.04811875	0.059080165	0.6853236	2.1955178	-2.4712808	1.6577159	2.646461	19.408445	-1.6785498	8.776643e-09	-0.008900362	2.4414062e-08	-0.0139971925	0.29227948	-0.04888515	7.948686	-1.2858362	1.4719937	0.028993487	2.2427096	0.0	1.791702	0.008722136	480000	1357.9855027198792
16	0.33412412	2.5697968	7.967127	-3.7125912	7.38	11.742896	51.0	0.0	300.0	23835.0	0.046735294117647055	0.0007072734	0.7264148	2.6000662	-2.84847	1.3170973	2.0303261	13.534282	-1.4057107	1.6253555e-09	-0.008793393	-4.0690105e-09	-0.013953137	0.39386368	-0.07204133	10.715584	-1.4842148	1.5009872	0.028510451	2.115196	0.0	1.8042724	0.007677749	510000	1442.5057847499847
17	-0.33533004	2.1033208	5.290288	-3.7441485	5.06	8.434239	42.0	0.0	300.0	24341.0	0.04507592592592593	0.015757931	0.6934778	2.5481913	-2.297005	1.301294	2.25546	23.019566	-1.6922075	7.1444934e-09	-0.008430126	9.155274e-09	-0.013698993	0.30380365	-0.08313899	6.459848	-1.2516832	1.5294976	0.02746892	2.2376497	0.0	1.8059926	0.009220784	540000	1527.6556723117828
18	0.1346084	2.5644395	7.69134	-3.8704536	5.49	10.119778	60.0	0.0	300.0	24890.0	0.043666666666666666	-0.05407404	0.61565256	2.2629158	-2.9014845	1.1369542	2.0024357	15.904911	-1.9883499	-5.307844e-09	-0.009156644	-6.1035155e-09	-0.013616084	0.3096383	-0.06169869	7.524505	-0.844079	1.5569665	0.026670098	2.0917418	0.0	1.7830029	0.008269557	570000	1616.643958568573
19	0.09081067	2.7741182	12.956294	-3.8471856	4.67	9.171757	48.0	0.0	300.0	25357.0	0.04226166666666667	0.05709876	0.7493097	2.7458715	-2.9138625	1.0650638	1.8599871	13.281331	-1.6707643	7.580358e-09	-0.008118463	9.155274e-09	-0.009445484	0.4670911	-0.116805434	5.7204843	-1.0280385	1.5836366	0.025725603	2.2701616	0.0	1.7793034	0.00957284	600000	1705.8604464530945
20	0.597305	3.0075316	8.700303	-3.8921347	4.09	7.784722	55.0	0.0	300.0	25766.0	0.0408984126984127	0.020853426	0.7179789	2.5260015	-2.9437225	1.2067242	2.1096578	15.433506	-1.6573929	1.2974454e-09	-0.009620371	3.0517577e-09	-0.013264976	0.46789244	-0.14521942	5.7822337	-1.8781984	1.6093622	0.024706125	2.1472774	0.0	1.7728443	0.008368749	630000	1791.2810814380646
21	0.5007709	2.9088013	9.142784	-3.756886	5.1	7.5093274	32.0	0.0	300.0	26276.0	0.039812121212121215	0.1344325	0.78143406	2.945376	-3.106407	0.9019427	1.4036819	10.110629	-1.1857448	-1.2145504e-08	-0.007175565	-2.2379558e-08	-0.010693237	0.46363246	-0.09569028	5.972434	-1.1230431	1.6340684	0.02410829	2.656564	0.0	1.7731249	0.008513441	660000	1875.3270568847656
22	0.550943	2.802963	6.86049	-3.982238	7.67	10.706125	65.0	0.0	300.0	27043.0	0.03919275362318841	0.11170953	0.77886564	2.9885128	-2.8989604	1.1752828	1.7062945	13.210881	-1.0899429	4.553269e-09	-0.009211204	1.2207031e-08	-0.014083988	0.43719804	-0.0988439	9.731206	-2.3576016	1.6581767	0.024369955	2.0557346	0.0	1.7658463	0.008305097	690000	1959.7667620182037
23	0.9366291	3.4141867	10.694691	-5.4692187	6.5	8.801704	54.0	0.0	300.0	27693.0	0.0384625	0.22913542	0.87181294	3.349711	-2.903094	1.7842308	2.4674363	15.705338	-1.7157886	-2.3114002e-09	-0.008791959	-6.1035155e-09	-0.013288803	0.6615296	-0.16178551	7.128521	-1.272347	1.6825466	0.024283528	2.2237754	0.0	1.7772636	0.008023727	720000	2044.3400688171387
