Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
13	0.7823709	2.6447532	6.9260507	-3.2715392	5.16	9.591372	59.0	0.0	300.0	15581.0	0.037097619047619046	0.37404475	0.78004587	2.5228858	-2.6490166	1.3829268	2.1934338	17.473291	-3.0283809	6.706111e-09	-0.009566889	1.6276042e-08	-0.0135461865	0.23344281	-0.040342227	7.2175627	-0.88566494	1.2322321	-0.0047570467	2.1250403	0.0	1.7282258	0.0084463395	420000	1384.1634724140167
14	1.0303599	2.580738	7.1221914	-3.1066892	5.68	11.27287	78.0	0.0	300.0	16149.0	0.035886666666666664	0.28727973	0.7590042	2.7933621	-2.3998234	1.356169	2.185785	17.274946	-2.0416398	-4.484547e-09	-0.008802437	-8.138021e-09	-0.011513238	0.26724032	-0.044747353	9.133082	-1.4428883	1.227475	-0.0075643063	2.3098164	0.0	1.724884	0.008107077	450000	1490.0230786800385
15	1.8896921	2.9078522	10.134644	-3.3335898	6.85	11.356386	60.0	0.0	300.0	16834.0	0.035070833333333336	0.43583226	0.7940511	2.5123208	-2.4608138	1.6532389	2.2739608	17.562973	-2.471011	3.958706e-09	-0.010012423	1.2207031e-08	-0.014361174	0.39502367	-0.06873357	9.035426	-1.1747508	1.2199107	-0.009191513	1.9921087	0.0	1.7302411	0.008208998	480000	1595.6486690044403
16	1.76011	3.0708342	11.159216	-3.1565247	7.47	9.505214	44.0	0.0	300.0	17581.0	0.03447254901960784	0.55008453	0.8216151	3.011463	-2.4088304	1.7705683	2.1819582	16.60271	-2.335891	-1.01495505e-08	-0.00996412	-2.4414062e-08	-0.016103437	0.46720818	-0.082651466	8.135589	-1.18891	1.2107192	-0.0101982355	1.9569056	0.0	1.7300941	0.008341256	510000	1700.5521070957184
17	1.7546144	2.7657845	7.8319883	-3.31557	5.55	7.436902	36.0	0.0	300.0	18136.0	0.03358518518518518	0.54309165	0.8657541	3.0496743	-2.2650306	1.7675174	2.1716998	17.077547	-3.240695	3.5128318e-09	-0.0075376392	-2.0345052e-09	-0.0060518067	0.43735737	-0.11238584	5.24159	-0.7963233	1.200521	-0.012411475	2.6993928	0.0	1.720938	0.008921564	540000	1805.8281989097595
18	1.6234274	3.2363558	10.59895	-3.999484	6.02	8.748691	37.0	0.0	300.0	18738.0	0.03287368421052632	0.42640594	0.8558286	2.7654045	-2.839292	1.318402	1.8129013	15.576094	-2.1152349	-3.6041103e-09	-0.0073668645	-4.0690105e-09	-0.009929208	0.55584806	-0.09491411	6.975399	-1.2569304	1.1881095	-0.014030933	2.48077	0.0	1.700722	0.008351593	570000	1911.8682198524475
19	2.1747773	3.4223464	9.384804	-3.646631	4.49	7.0491066	35.0	0.0	300.0	19187.0	0.03197833333333333	0.48149094	0.90332735	2.8015058	-2.4879797	1.448218	1.8730571	12.029132	-1.5224171	3.2961123e-09	-0.007517162	6.1035155e-09	-0.008548309	0.5734599	-0.11364105	5.106336	-1.0932527	1.1740786	-0.016361475	2.7024643	0.0	1.6850115	0.008635045	600000	2017.667121887207
20	2.385154	3.1018128	10.37671	-3.699051	5.28	7.123314	31.0	0.0	300.0	19715.0	0.0312936507936508	0.65190274	0.9640063	2.9659	-2.7779112	1.3581452	1.5898367	11.877332	-1.1429275	-4.663854e-09	-0.0061314087	-1.2207031e-08	-0.007829941	0.5335346	-0.10653722	4.975385	-0.6229181	1.1577171	-0.017886639	3.2465003	0.0	1.6856468	0.008477914	630000	2123.790008544922
21	3.059436	3.3993537	11.259632	-2.786606	6.59	8.582651	50.0	0.0	300.0	20374.0	0.03086969696969697	0.72229517	0.9552861	2.9240367	-2.9267795	1.34774	1.5237994	11.161647	-1.1068256	-4.2221022e-09	-0.0075122127	8.138021e-09	-0.009336096	0.61781925	-0.14708799	7.677756	-1.3653135	1.1398305	-0.0184232	2.66414	0.0	1.6861857	0.008737781	660000	2229.2106692790985
22	2.8442392	3.206142	11.664782	-2.882391	7.16	10.003719	56.0	0.0	300.0	21090.0	0.03056521739130435	0.7954762	0.97504646	3.269221	-2.5035295	1.7370794	1.9699194	13.08107	-1.8056479	5.2678053e-09	-0.007950183	4.0690105e-09	-0.010848004	0.7145677	-0.12877542	8.087073	-1.488266	1.1214073	-0.018536806	2.543519	0.0	1.698911	0.008644537	690000	2336.661549091339
