Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.38859597	1.79417	11.836259	-1.5765507	12.125	10.91464	50.0	0.0	150.0	2425.0	0.08083333333333333	1.1387584	0.21669473	1.8723676	-0.5676437	-0.56045777	0.11133065	0.41791278	-0.9203056	1.373291e-08	-0.009208927	6.1035155e-09	-0.013157955	0.8543482	-0.46120423	37.46687	-22.142769	1.0	0.0318954	2.0119767	0.0	1.837877	0.008099773	30000	156.77611923217773
1	0.5188647	1.9051002	9.714072	-1.4683383	10.6	10.485704	47.0	0.0	150.0	4545.0	0.07575	0.7046011	0.46985748	2.4158998	-1.2663769	3.6054578	2.3104696	12.687049	-2.2778978	-1.938696e-09	-0.0092135165	4.0690105e-09	-0.014647184	0.43474916	-0.05881235	15.428787	-3.0274677	1.0318954	0.027468085	1.9942675	0.0	1.8360238	0.009269934	60000	329.4012303352356
2	0.7105432	2.4163816	18.436367	-1.4181796	10.8	10.278619	42.0	0.0	150.0	6705.0	0.0745	0.5442061	0.5461667	2.8081088	-1.1704493	5.292827	2.8370671	12.792737	-2.0686288	1.883837e-08	-0.008556999	3.6621095e-08	-0.014521423	0.5872857	-0.035078645	12.906406	-1.2843285	1.0593635	0.027418971	2.0175457	0.0	1.8281244	0.0074958364	90000	502.3587305545807
3	0.5443586	1.7898272	9.999632	-1.4277081	12.075	11.764751	67.0	0.0	150.0	9120.0	0.076	0.47390956	0.5958938	2.8769073	-0.8058447	6.086297	3.287124	14.895306	-3.4416947	-1.8097076e-08	-0.010312638	-3.6621095e-08	-0.0169522	0.38116327	-0.013093919	16.735	-2.279212	1.0867825	0.029923916	1.7946398	0.0	1.8228087	0.00818266	120000	675.9819366931915
4	0.6148312	2.0256963	11.266333	-1.3579489	10.235	9.555614	38.0	0.0	150.0	11167.0	0.07444666666666666	0.3709442	0.54767627	2.6493084	-0.69047236	6.2915416	4.0947013	18.776176	-3.9224846	-1.2062972e-08	-0.009064405	-1.8310548e-08	-0.013001853	0.3676157	-0.011669219	10.530772	-0.63797283	1.1167064	0.026956081	2.0460663	0.0	1.8165584	0.00783352	150000	849.2234487533569
5	0.6707219	1.8938175	7.425907	-1.4772252	10.325	9.829515	52.0	0.0	150.0	13232.0	0.07351111111111111	0.3574517	0.5928478	2.7752593	-0.867239	7.2579603	3.6614244	17.039438	-3.5054677	-5.2907834e-09	-0.010900075	-8.138021e-09	-0.016136574	0.33070034	-0.013798773	11.332262	-0.6762171	1.1436625	0.025236607	1.8134208	0.0	1.8051534	0.009273998	180000	1021.8636100292206
6	0.6288168	2.5535505	18.578026	-2.0151093	9.74	10.241211	52.0	0.0	150.0	15180.0	0.07228571428571429	0.2873217	0.57369375	2.836838	-0.849566	6.2726507	3.3306837	15.55949	-3.0593727	8.771755e-09	-0.009397252	1.6276042e-08	-0.012726204	0.721339	-0.050571263	11.038631	-0.5417814	1.168899	0.020752907	2.1631641	0.0	1.8157823	0.009342676	210000	1195.3453619480133
7	0.8529899	2.4430325	13.4672365	-1.6053841	9.81	10.09326	43.0	0.0	150.0	17142.0	0.071425	0.42559382	0.7481788	3.3073614	-1.3080517	6.457416	3.7087345	18.189041	-3.2516706	-2.3324699e-08	-0.010689606	-3.86556e-08	-0.014498883	0.7200408	-0.05148059	10.56824	-0.44269943	1.189652	0.0173769	1.8616426	0.0	1.7885306	0.009017277	240000	1368.8002853393555
8	0.9635403	2.6918235	19.75467	-1.4751098	9.305	9.790402	45.0	0.0	150.0	19003.0	0.07038148148148148	0.46480113	0.717717	3.5637429	-1.0792122	6.1813974	3.4373243	17.59938	-3.7708678	1.7421115e-08	-0.010677965	2.8483074e-08	-0.015670467	0.79900444	-0.06607193	11.35709	-0.91869545	1.2070289	0.0114786625	1.8508949	0.0	1.800889	0.0084498	270000	1542.9261910915375
9	1.467409	3.1874163	15.4367895	-1.6568364	8.325	8.377313	40.0	0.0	150.0	20668.0	0.06889333333333333	0.5299354	0.7740274	4.172928	-1.0152997	5.7714133	3.4428658	18.433323	-3.2564843	-1.306633e-08	-0.011056834	-1.6276042e-08	-0.0131765995	1.2684706	-0.1655829	9.104074	-0.95622444	1.2185075	0.0012867451	1.8883404	0.0	1.8070812	0.009526446	300000	1716.081716299057
10	1.886163	3.4440176	17.989244	-2.2299235	9.105	8.941698	48.0	0.0	150.0	22489.0	0.06814848484848485	0.8300167	1.0980268	5.2429686	-1.4777484	5.105583	3.128581	17.81733	-3.3565469	-1.22977415e-08	-0.008377646	-2.2379558e-08	-0.010200128	1.5406096	-0.19138098	8.209827	-0.49216175	1.2197943	-0.0029290915	2.0029223	1.0	1.8107468	0.0063830307	330000	1889.4848442077637
11	2.017688	3.6219616	19.537735	-2.217662	8.985	8.537844	37.0	0.0	150.0	24286.0	0.06746111111111111	0.8467984	1.1553179	5.880833	-1.3402399	5.180157	3.233244	19.218008	-2.7979362	-8.596892e-09	-0.010208253	-8.138021e-09	-0.013175966	1.6631651	-0.20282114	8.108827	-0.61246204	1.2168652	-0.006955385	1.9382617	0.0	1.8133934	0.00906352	360000	2061.7430624961853
