Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	8.453945	18.0	101	1066.0193498134613
0	1	9.336516	17.0	202	1090.9063589572906
0	2	16.023571	7.0	304	1116.1661140918732
0	3	10.851787	10.0	406	1140.992478609085
0	4	16.297462	4.0	508	1166.156323671341
0	5	16.621515	11.0	610	1191.2357184886932
0	6	17.091516	0.0	711	1215.8963022232056
0	7	15.209502	21.0	814	1241.12651181221
0	8	16.52336	0.0	917	1266.2859876155853
0	9	15.462609	7.0	1018	1290.9060134887695
1	10	15.583592	24.0	1120	1586.4957716464996
1	11	15.49461	9.0	1222	1611.1737484931946
1	12	16.106709	7.0	1324	1636.2669677734375
1	13	14.90552	1.0	1427	1661.0297956466675
1	14	15.307091	2.0	1529	1685.4301567077637
1	15	15.449437	9.0	1631	1710.2467112541199
1	16	17.896112	9.0	1733	1734.9492964744568
1	17	18.31446	6.0	1835	1760.668273448944
1	18	12.421984	40.0	1937	1786.5030388832092
1	19	15.416401	6.0	2041	1812.6524074077606
2	20	17.864769	5.0	2144	2208.2714648246765
2	21	18.806316	3.0	2247	2233.8029038906097
2	22	18.439651	0.0	2350	2259.1356194019318
2	23	12.681158	2.0	2452	2284.4765660762787
2	24	18.509962	0.0	2554	2309.777450323105
2	25	16.577068	0.0	2657	2335.5737659931183
2	26	9.238094	8.0	2758	2360.95716381073
2	27	4.00985	26.0	2858	2385.725524663925
2	28	17.19433	3.0	2961	2410.9938457012177
2	29	14.051287	31.0	3063	2436.0863029956818
3	30	18.956577	4.0	3167	2738.154005765915
3	31	16.294195	8.0	3267	2762.3179705142975
3	32	16.131098	0.0	3369	2787.0833101272583
3	33	17.201315	6.0	3471	2811.713531255722
3	34	16.37826	13.0	3573	2836.1959958076477
3	35	15.709354	2.0	3676	2861.483471632004
3	36	15.977114	3.0	3780	2887.0748291015625
3	37	16.17432	6.0	3882	2911.687834262848
3	38	15.85495	15.0	3985	2936.5803773403168
3	39	17.63273	9.0	4087	2961.124329328537
4	40	16.97295	4.0	4189	3145.715888977051
4	41	18.70257	5.0	4292	3170.7403836250305
4	42	17.449087	0.0	4395	3195.895570755005
4	43	16.643433	4.0	4499	3221.4623103141785
4	44	14.353978	11.0	4601	3246.34903717041
4	45	16.297081	11.0	4702	3271.4830555915833
4	46	17.154428	3.0	4805	3296.947934150696
4	47	18.094852	10.0	4908	3322.4130573272705
4	48	14.9854965	5.0	5009	3347.0530936717987
4	49	16.696236	8.0	5112	3371.9389202594757
5	50	17.219664	14.0	5215	3740.727828502655
5	51	17.105284	0.0	5317	3766.179013490677
5	52	16.888073	7.0	5421	3791.1863346099854
5	53	15.591196	11.0	5523	3815.8987896442413
5	54	18.44931	6.0	5626	3840.350905418396
5	55	16.16803	14.0	5729	3865.531824350357
5	56	6.142022	6.0	5829	3890.5570707321167
5	57	16.856073	12.0	5933	3915.9076778888702
5	58	19.065994	3.0	6036	3940.7626872062683
5	59	16.695484	4.0	6138	3965.4554262161255
6	60	17.0612	0.0	6240	4257.155252456665
6	61	17.628654	5.0	6343	4282.303102731705
6	62	17.504686	13.0	6445	4307.432435512543
6	63	18.49839	4.0	6548	4332.495974302292
6	64	16.856089	2.0	6650	4357.212703227997
6	65	16.673649	12.0	6752	4382.355873823166
6	66	17.853668	1.0	6855	4407.65500664711
6	67	15.580305	0.0	6958	4433.179819345474
6	68	17.208393	2.0	7061	4458.7809908390045
6	69	16.987654	9.0	7164	4483.895293474197
7	70	18.82896	0.0	7267	4653.317793130875
7	71	15.376926	4.0	7368	4677.484343290329
7	72	18.025455	3.0	7471	4702.151748418808
7	73	16.520151	0.0	7573	4726.945204257965
7	74	18.205063	6.0	7675	4751.5895030498505
7	75	17.812536	3.0	7778	4776.200101852417
7	76	17.720633	13.0	7881	4801.062696456909
7	77	18.859426	3.0	7985	4826.116077423096
7	78	16.69822	2.0	8088	4851.0557725429535
7	79	14.804777	12.0	8190	4875.751805305481
8	80	17.701595	0.0	8293	5253.157292842865
8	81	17.806955	2.0	8395	5279.112900018692
8	82	15.253437	7.0	8497	5305.085115909576
8	83	18.894236	6.0	8600	5331.144812107086
8	84	18.108501	5.0	8704	5357.582793474197
8	85	16.639143	5.0	8807	5383.914791584015
8	86	17.12143	2.0	8910	5409.170444488525
8	87	20.3309	0.0	9013	5434.127502441406
8	88	19.014473	6.0	9115	5459.190131664276
8	89	19.173182	6.0	9218	5484.309595584869
9	90	17.503387	2.0	9321	5678.223273038864
9	91	16.424665	0.0	9423	5703.166496515274
9	92	18.763468	8.0	9526	5728.154993534088
9	93	17.78047	2.0	9628	5752.97904419899
9	94	17.484852	10.0	9730	5777.839645147324
9	95	17.9354	7.0	9832	5802.386271715164
9	96	10.787738	7.0	9934	5827.254568338394
9	97	19.27716	3.0	10036	5851.70961689949
9	98	18.013235	0.0	10140	5877.043084144592
9	99	19.656061	0.0	10244	5902.287311077118
10	100	17.51128	6.0	10348	6098.049570560455
10	101	19.173433	0.0	10451	6123.1351816654205
10	102	19.424992	0.0	10553	6148.070666313171
10	103	16.75782	0.0	10655	6173.185134887695
10	104	17.851503	16.0	10758	6197.979203939438
10	105	16.608784	6.0	10859	6222.408399581909
10	106	19.629438	4.0	10961	6247.152189016342
10	107	15.827101	2.0	11062	6271.818396806717
10	108	17.589197	7.0	11165	6296.952841520309
10	109	16.11619	4.0	11269	6321.698148727417
11	110	17.39621	8.0	11372	6497.323097705841
11	111	18.905735	4.0	11475	6522.374383449554
11	112	16.521168	10.0	11578	6547.399687051773
11	113	17.58241	1.0	11681	6572.245447635651
11	114	17.200663	4.0	11784	6597.323433876038
11	115	17.776323	11.0	11886	6622.482367277145
11	116	18.47621	6.0	11989	6647.953838586807
11	117	14.794679	28.0	12091	6673.859682559967
11	118	17.697754	2.0	12194	6700.229296207428
11	119	17.343	0.0	12295	6725.3522963523865
12	120	18.873035	9.0	12398	6999.699006795883
12	121	19.20973	6.0	12502	7025.438102483749
12	122	18.085379	2.0	12605	7050.959592342377
12	123	19.07494	8.0	12707	7075.450840473175
12	124	17.774036	2.0	12811	7100.069522619247
12	125	16.79586	0.0	12914	7124.711744070053
12	126	17.889973	3.0	13017	7149.335784912109
12	127	18.143896	11.0	13120	7173.918701887131
12	128	16.25841	8.0	13222	7198.616524219513
12	129	18.30431	1.0	13324	7223.3717975616455
13	130	16.04602	1.0	13427	7553.287640094757
13	131	17.076797	4.0	13529	7577.761811256409
13	132	14.086408	0.0	13631	7602.337102174759
13	133	20.425873	4.0	13734	7627.283138751984
13	134	15.387247	5.0	13836	7651.853241920471
13	135	12.212359	12.0	13937	7676.43269610405
13	136	18.161749	5.0	14039	7701.004999876022
13	137	16.45503	0.0	14143	7725.941990613937
13	138	16.458897	2.0	14245	7750.32848906517
13	139	19.87321	0.0	14348	7775.192985773087
14	140	17.86281	2.0	14450	7998.574754953384
14	141	16.925634	1.0	14552	8023.531312227249
14	142	16.726553	2.0	14655	8048.728983879089
14	143	17.231813	19.0	14758	8073.867513418198
14	144	18.287825	9.0	14860	8098.6856553554535
14	145	17.120905	9.0	14962	8123.63232421875
14	146	16.195763	9.0	15064	8148.375645637512
14	147	18.270273	0.0	15167	8173.84897685051
14	148	16.906013	5.0	15269	8198.738297224045
14	149	18.031572	5.0	15371	8223.491270065308
15	150	18.730854	2.0	15474	8577.400774240494
15	151	17.222784	9.0	15576	8603.204692840576
15	152	17.569126	3.0	15679	8629.302134275436
15	153	20.119555	7.0	15781	8654.682147979736
15	154	17.036396	5.0	15885	8680.547200679779
15	155	16.502249	5.0	15987	8705.449489116669
15	156	16.824766	4.0	16089	8730.18164229393
15	157	17.118986	3.0	16191	8755.051223993301
15	158	17.479788	0.0	16294	8780.156094789505
15	159	19.810516	4.0	16398	8805.73527097702
16	160	16.41638	3.0	16501	9099.397126674652
16	161	17.139177	3.0	16605	9124.974750757217
16	162	17.586054	7.0	16706	9149.602927207947
16	163	18.262753	1.0	16809	9174.621240139008
16	164	20.2118	4.0	16913	9199.817731380463
16	165	16.6263	2.0	17015	9224.430197000504
16	166	17.989624	8.0	17117	9249.272097110748
16	167	16.098234	12.0	17219	9274.092727899551
16	168	15.465085	9.0	17321	9299.151480197906
16	169	17.137037	4.0	17424	9324.584497451782
17	170	19.473577	3.0	17526	9643.01820063591
17	171	18.400158	2.0	17628	9667.459963560104
17	172	19.037529	2.0	17730	9691.977140426636
17	173	16.281488	5.0	17833	9716.856702327728
17	174	17.814041	5.0	17936	9741.591098546982
17	175	16.36095	0.0	18039	9765.87289571762
17	176	13.609656	7.0	18141	9790.781868934631
17	177	15.883236	0.0	18243	9814.788056373596
17	178	18.374327	2.0	18347	9839.561331033707
17	179	17.8573	1.0	18449	9863.562830209732
18	180	17.876183	4.0	18552	10289.588694095612
18	181	19.457788	3.0	18656	10315.231778144836
18	182	15.720699	12.0	18757	10339.943419218063
18	183	16.676973	5.0	18858	10364.670846223831
18	184	16.394398	0.0	18960	10389.522913455963
18	185	18.425262	5.0	19062	10414.447637557983
18	186	15.670257	6.0	19164	10439.543780565262
18	187	15.928967	11.0	19267	10464.398667573929
18	188	16.894255	3.0	19369	10489.273109912872
18	189	16.324013	2.0	19472	10514.413798570633
19	190	16.133259	2.0	19574	10722.729264974594
19	191	17.04788	3.0	19676	10747.253913879395
19	192	19.16954	6.0	19779	10771.936854600906
19	193	16.456324	6.0	19881	10796.784511089325
19	194	16.961344	0.0	19983	10821.69098162651
19	195	15.951304	1.0	20086	10846.36498618126
19	196	19.153175	6.0	20188	10871.209082841873
19	197	16.582415	3.0	20291	10896.2444896698
19	198	17.342215	5.0	20392	10921.128679990768
19	199	19.505787	5.0	20496	10946.584090471268
20	200	18.471972	3.0	20598	11133.603374004364
20	201	17.202066	0.0	20700	11158.171289205551
20	202	16.723284	0.0	20805	11183.689037799835
20	203	18.685303	2.0	20908	11208.472736358643
20	204	16.390026	4.0	21010	11233.26117014885
20	205	18.159939	3.0	21113	11258.539247512817
20	206	19.623247	5.0	21216	11283.403275489807
20	207	16.964535	0.0	21319	11308.380645751953
20	208	17.329323	8.0	21420	11332.561869382858
20	209	18.1743	5.0	21523	11357.03124332428
21	210	16.724358	2.0	21626	11763.034318447113
21	211	18.036407	2.0	21727	11787.35901093483
21	212	20.181942	0.0	21831	11812.357465982437
21	213	19.446941	5.0	21934	11837.226182699203
21	214	14.6620655	5.0	22036	11861.878051280975
21	215	18.341673	6.0	22139	11886.823637962341
21	216	18.302763	6.0	22242	11911.60487318039
21	217	18.884651	5.0	22344	11936.380693912506
21	218	15.889053	1.0	22445	11961.07927942276
21	219	17.957682	0.0	22548	11985.957985162735
22	220	16.96053	10.0	22651	12176.290384292603
22	221	18.516531	0.0	22753	12201.106128692627
22	222	16.684618	6.0	22856	12226.232608795166
22	223	16.27091	2.0	22959	12251.08016872406
22	224	16.964275	6.0	23061	12275.613729476929
22	225	17.459162	1.0	23163	12300.509366750717
22	226	19.116524	3.0	23266	12325.448564052582
22	227	17.433151	1.0	23368	12350.388541221619
22	228	16.049929	0.0	23470	12375.132663965225
22	229	17.188961	3.0	23573	12400.06685090065
23	230	18.539154	0.0	23676	12685.967901468277
23	231	19.0368	1.0	23779	12711.195124864578
23	232	18.28386	0.0	23882	12736.137103557587
23	233	18.55299	1.0	23985	12760.82819700241
23	234	17.50543	5.0	24088	12785.641097068787
23	235	17.055994	5.0	24190	12810.717418432236
23	236	17.99545	4.0	24294	12835.989326953888
23	237	19.939234	1.0	24397	12861.212602853775
23	238	16.906477	2.0	24499	12885.962856054306
23	239	10.505479	2.0	24600	12911.457256793976
24	240	18.068663	2.0	24702	13165.287124156952
24	241	18.661142	3.0	24805	13191.13974571228
24	242	16.086374	2.0	24908	13216.364178180695
24	243	16.401552	9.0	25010	13240.968859672546
24	244	17.480751	3.0	25112	13265.550676822662
24	245	16.924305	0.0	25214	13290.273770809174
24	246	20.13514	5.0	25317	13315.325188159943
24	247	18.426863	1.0	25420	13340.456933736801
24	248	13.697935	12.0	25521	13365.295948505402
24	249	17.229889	6.0	25622	13389.802631855011
25	250	19.95257	4.0	25726	13751.469357728958
25	251	18.962843	2.0	25829	13776.354733467102
25	252	17.048426	0.0	25933	13801.196257352829
25	253	15.112491	4.0	26036	13826.409384965897
25	254	16.001577	5.0	26137	13850.711959123611
25	255	16.207035	2.0	26241	13876.296459913254
25	256	16.015724	0.0	26343	13901.165031433105
25	257	16.753147	3.0	26446	13926.605495214462
25	258	16.213083	3.0	26549	13951.773928403854
25	259	17.352198	2.0	26652	13977.000970602036
26	260	18.933735	6.0	26755	14269.250996112823
26	261	18.79808	0.0	26857	14294.942402362823
26	262	17.908817	0.0	26960	14320.551275730133
26	263	18.239964	3.0	27062	14345.58472776413
26	264	20.684553	1.0	27165	14370.84781908989
26	265	18.38488	8.0	27268	14396.31291604042
26	266	17.633923	3.0	27371	14421.754718780518
26	267	18.585636	5.0	27472	14446.765886545181
26	268	11.333033	32.0	27575	14472.987915039062
26	269	19.066866	10.0	27677	14498.818126678467
27	270	17.957241	2.0	27780	14770.22966003418
27	271	18.182745	2.0	27881	14794.590020895004
27	272	17.475595	0.0	27984	14819.913100481033
27	273	18.746864	3.0	28087	14844.332901716232
27	274	16.352285	5.0	28189	14869.683249950409
27	275	17.16864	0.0	28292	14895.320163488388
