Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.19556236	1.4174061	12.421368	-1.3771565	13.055	11.036393	46.0	0.0	150.0	2611.0	0.08703333333333334	1.1307809	0.21609849	1.8436373	-0.4404575	-0.55370754	0.10907504	0.46447366	-0.96168256	-2.0345052e-09	0.0011514302	6.510417e-08	-0.015066673	0.7904888	-0.44465232	41.20544	-24.811483	1.2253946	0.0	0.003641908	-0.011143127	0.020366669	0.0036923627	-0.00081976526	0.013319189	0.0	1.2253946	0.0	0.0	0.0	1.837877	0.007890125	30000	230.27651286125183
1	0.23507673	1.2760466	6.4328456	-1.5243951	11.995	11.793429	47.0	0.0	150.0	5010.0	0.0835	0.6420594	0.43267104	2.5757763	-1.4127942	3.758219	2.5870237	12.510387	-2.94628	-3.0517577e-09	-0.0042990334	8.138021e-09	-0.011024358	0.2645835	-0.08556245	20.27252	-4.664482	0.39662796	0.0	0.0035477898	0.010362031	0.013299999	0.0035615645	0.0005028075	0.01835345	0.5851356	0.39662796	1.0	0.0	0.0	1.8356483	0.0065001324	60000	457.46201729774475
2	0.24270998	1.194584	4.992795	-1.3905532	12.53	10.798106	47.0	0.0	150.0	7516.0	0.0835111111111111	0.39546302	0.450408	2.365614	-1.078686	6.056791	2.9671226	13.088451	-2.8003669	0.0	-0.0023666327	-3.051758e-08	-0.014071874	0.17373502	-0.016586617	14.624105	-1.6321783	3.4642522	0.0	0.0042299223	0.00044414288	0.016866665	0.0044184662	0.0016561402	0.014547273	3.0860634	3.4642522	1.0	0.0	0.0	1.8343563	0.007562988	90000	683.9554164409637
3	0.12089371	1.0627644	4.0397434	-1.4775364	12.27	10.686772	46.0	0.0	150.0	9970.0	0.08308333333333333	0.2687591	0.43446758	2.084708	-1.0747358	6.7146525	3.4395077	15.840299	-2.7081542	-9.155274e-09	-0.0033032543	2.8483074e-08	-0.0140572395	0.12897325	-0.009598471	12.4478	-0.5919256	0.68355423	0.0	0.0033784602	0.006795759	0.015133336	0.0034594892	-0.0011854904	0.017344266	0.7050833	0.68355423	1.0	0.0	0.0	1.8345494	0.0084150825	120000	910.3620283603668
4	0.3036117	1.3041575	7.7004466	-1.7809331	10.94	10.797519	46.0	0.0	150.0	12158.0	0.08105333333333334	0.20892164	0.4455055	2.2889397	-0.9738223	6.724483	3.7620697	15.833103	-2.3181343	-6.1035155e-09	-0.0061921263	0.0	-0.0066596474	0.1630062	-0.006944701	11.966265	-0.37548256	0.32697383	0.0	0.0033462462	0.0172986	0.006266664	0.0036206106	-0.0019971272	0.014537306	0.43981847	0.32697383	1.0	0.0	0.0	1.8315387	0.008220995	150000	1136.5441381931305
5	0.40386838	1.7036558	13.003564	-1.5969192	12.305	11.255309	49.0	0.0	150.0	14619.0	0.08121666666666667	0.21128708	0.49873018	2.2542803	-0.9517943	7.2915134	3.6093361	16.501139	-2.8489127	1.0172526e-08	-0.0054809204	0.0	-0.01346993	0.36889324	-0.0163818	14.631895	-0.5188551	0.5771288	0.0	0.0041113505	0.008888984	0.015366669	0.004266288	-0.001814601	0.021252288	0.6800897	0.5771288	1.0	0.0	0.0	1.8300567	0.008108547	180000	1362.5413055419922
6	0.2212305	1.1262025	5.775074	-1.670935	12.41	10.112463	53.0	0.0	150.0	17101.0	0.08143333333333333	0.23767175	0.52330774	2.5816905	-0.8742478	7.358522	3.9191198	17.42917	-3.5431278	4.0690105e-09	-0.0052752034	-1.6276042e-08	-0.016748201	0.16896456	-0.017854199	11.145362	-0.46175194	0.8365854	0.0	0.0041995132	0.0048597925	0.016066665	0.0042259796	0.00067174836	0.017049816	0.9295882	0.8365854	1.0	0.0	0.0	1.825911	0.009579167	210000	1588.5043234825134
7	0.43653357	1.4948437	8.684949	-1.8141146	12.475	11.021769	56.0	0.0	150.0	19596.0	0.08165	0.19942127	0.45364556	1.8987395	-0.89760584	7.771648	3.7104924	17.653418	-3.5209713	7.1207684e-09	-0.0038858573	3.4586588e-08	-0.01473563	0.28881687	-0.027302176	13.135467	-0.8712864	1.3955119	0.0	0.005556011	0.0028615694	0.016500002	0.0055986578	0.0008230767	0.015885357	1.3934115	1.3955119	1.0	0.0	0.0	1.8170966	0.008344931	240000	1815.527019739151
8	0.38558057	1.4276196	8.599349	-1.6806618	12.275	11.157033	53.0	0.0	150.0	22051.0	0.08167037037037037	0.2280995	0.5502013	2.9843562	-0.90128595	7.733299	4.123373	19.232029	-4.1809754	1.0172526e-09	-0.0038696695	1.2207031e-08	-0.015808847	0.21710625	-0.025945038	13.239297	-0.81252193	0.94249076	0.0	0.0053433846	0.006556788	0.0151666645	0.005690035	-0.0024354788	0.017111067	0.90273994	0.94249076	1.0	0.0	0.0	1.8318541	0.008649546	270000	2042.0540413856506
9	0.5178508	1.5882176	8.491181	-2.0902946	11.495	9.317187	36.0	0.0	150.0	24350.0	0.08116666666666666	0.23102403	0.5306574	2.4208982	-0.922627	7.122769	3.973203	19.54378	-4.275693	-2.0345052e-09	-0.0077714925	3.6621095e-08	-0.007710779	0.2945765	-0.041365862	11.550856	-0.84946823	0.46183303	0.0	0.006234358	0.013283432	0.009966666	0.0062343585	-2.312926e-06	0.014789464	0.6850791	0.46183303	1.0	0.0	1.0	1.8325922	0.0062028505	300000	2268.7862622737885
