Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	13.994778	4.0	104	1458.0877816677094
0	1	15.601741	0.0	206	1545.2340307235718
0	2	13.319965	19.0	309	1636.1520726680756
0	3	14.886879	2.0	410	1723.3949201107025
0	4	15.786281	4.0	513	1804.355283498764
0	5	4.473127	0.0	614	1881.463040113449
0	6	15.688712	17.0	716	1961.0469422340393
0	7	17.185862	3.0	818	2040.4908185005188
0	8	11.205092	5.0	919	2119.829112768173
0	9	14.244267	8.0	1021	2200.953260421753
1	10	7.6943	25.0	1122	2821.1253628730774
1	11	12.717146	4.0	1224	2914.880607366562
1	12	11.210843	13.0	1325	3006.4665093421936
1	13	15.474944	0.0	1428	3101.235645532608
1	14	16.591818	4.0	1531	3198.1600675582886
1	15	11.968692	12.0	1633	3282.317089319229
1	16	14.129059	2.0	1735	3365.427929878235
1	17	17.228958	0.0	1838	3450.311405658722
1	18	15.820339	2.0	1941	3535.203337430954
1	19	13.116574	5.0	2043	3617.9321670532227
2	20	16.175898	1.0	2145	4281.743726015091
2	21	0.36328906	0.0	2245	4366.674445867538
2	22	12.037236	14.0	2347	4451.958878278732
2	23	17.745434	4.0	2450	4537.634795427322
2	24	14.714141	12.0	2553	4624.359053134918
2	25	16.774427	3.0	2657	4706.9849853515625
2	26	7.7783804	27.0	2759	4787.812157154083
2	27	14.886888	11.0	2861	4869.448171138763
2	28	4.8565288	0.0	2962	4952.185250759125
2	29	11.985031	9.0	3063	5036.105906009674
3	30	1.7746418	4.0	3163	5682.478820562363
3	31	15.672006	18.0	3267	5761.486266851425
3	32	14.9204645	11.0	3368	5838.611678600311
3	33	15.95028	4.0	3470	5918.858553886414
3	34	18.205038	1.0	3573	6007.250586032867
3	35	15.599369	2.0	3674	6100.688157081604
3	36	13.08776	8.0	3775	6194.712203741074
3	37	12.868284	19.0	3877	6286.398940324783
3	38	17.085236	6.0	3979	6377.865106582642
3	39	16.730436	15.0	4081	6469.714761257172
4	40	8.12129	2.0	4183	7079.610702991486
4	41	17.800327	0.0	4285	7159.822312116623
4	42	12.696221	4.0	4386	7240.478998661041
4	43	19.074814	5.0	4487	7320.106585979462
4	44	16.701757	3.0	4590	7405.5446944236755
4	45	18.02061	7.0	4691	7499.7176604270935
4	46	16.927048	12.0	4793	7596.089458703995
4	47	19.83308	0.0	4897	7693.871153116226
4	48	15.191743	8.0	5000	7783.142635345459
4	49	12.609573	14.0	5102	7871.8526339530945
5	50	16.037312	2.0	5204	8454.1113986969
5	51	16.769451	8.0	5306	8532.97854757309
5	52	19.633034	0.0	5408	8609.52232503891
5	53	16.532913	2.0	5512	8693.51106929779
5	54	17.349266	12.0	5616	8777.137548685074
5	55	17.710028	7.0	5719	8858.845329761505
5	56	14.132815	2.0	5822	8946.62155866623
5	57	13.989386	8.0	5923	9032.703669071198
5	58	19.298502	0.0	6026	9117.85855126381
5	59	19.817997	2.0	6130	9203.037776231766
6	60	18.027582	0.0	6232	9839.46982049942
6	61	16.762445	4.0	6335	9936.030621051788
6	62	18.359709	0.0	6437	10026.99323296547
6	63	18.093182	6.0	6539	10106.01631975174
6	64	18.29511	0.0	6640	10184.063020467758
6	65	1.5275602	0.0	6740	10265.417095184326
6	66	16.718655	5.0	6841	10346.947385311127
6	67	16.85967	2.0	6943	10443.206070184708
6	68	16.83496	3.0	7045	10542.335720062256
6	69	14.5042	11.0	7148	10639.551300525665
7	70	16.07892	6.0	7250	11260.346055984497
7	71	16.719995	2.0	7352	11339.551408529282
7	72	19.451199	0.0	7455	11420.819433927536
7	73	18.54508	5.0	7558	11509.169156312943
7	74	15.130146	7.0	7661	11601.383424520493
7	75	16.70911	7.0	7764	11689.47090291977
7	76	19.193075	5.0	7868	11777.52875828743
7	77	17.51234	8.0	7970	11859.014842271805
7	78	18.333494	5.0	8073	11940.375806808472
7	79	19.130733	2.0	8175	12028.449329853058
8	80	16.88424	3.0	8277	12733.53094625473
