Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.011061562	-4.8828124e-08	-0.0018175701	0.41809905	-0.27705646	120.26528	-64.57302	0	0	1.8849672	0.0	1.837877	0.008794715	30000	88.02404546737671
1	0.6859351	1.8504399	6.4800005	-2.665861	29.69	26.773754	103.0	0.0	300.0	5733.0	0.09555	0.27397338	0.21091656	0.96544605	-0.4054486	6.565566	3.9215612	14.564294	-3.1085763	-6.612142e-09	-0.012902095	4.0690104e-08	0.00063804525	0.2406958	-0.057471126	65.18503	-10.185398	0	0	1.6220894	0.0	1.8457263	0.008578607	60000	186.55576491355896
2	2.217951	1.8365496	6.7380886	-1.3057349	31.99	24.056805	119.0	0.0	300.0	8932.0	0.09924444444444444	0.41423282	0.4291915	1.7568468	-0.35909605	9.016072	4.85918	19.729635	-5.364813	5.086263e-09	-0.014020228	-7.73112e-08	0.00926758	0.33169815	-0.09317252	56.40921	-8.153748	0	0	1.5069214	0.0	1.8497174	0.009657181	90000	306.7859899997711
3	3.3284218	2.0214748	9.579986	-1.469406	34.66	21.666664	116.0	0.0	300.0	12398.0	0.10331666666666667	0.768368	0.44904587	1.990118	-0.10332182	11.998971	4.3614364	24.123486	0.83888394	-2.746582e-08	-0.012470205	1.2207031e-08	-0.00415745	0.43685898	-0.085264474	56.3089	-4.070259	0	0	1.6843293	0.0	1.8505853	0.008926029	120000	433.1519320011139
4	3.1550794	1.7085819	7.3398614	-1.0624235	33.48	20.694191	94.0	0.0	300.0	15746.0	0.10497333333333334	0.9667909	0.44964808	2.444189	0.15364833	11.801717	3.4575493	25.547003	4.1283793	3.0517577e-09	-0.010367289	1.2207031e-08	0.00057374267	0.35065955	-0.034256846	47.935745	-2.49337	0	0	1.9077053	0.0	1.8465259	0.008932121	150000	559.6136894226074
5	4.3331523	2.3247902	11.3643875	-0.6077138	34.23	18.84349	84.0	0.0	300.0	19169.0	0.10649444444444445	1.0757568	0.39934537	2.161935	0.1230613	11.977527	3.60817	25.727003	2.9979634	8.138021e-09	-0.010978949	2.0345052e-08	0.0010805948	0.5214249	-0.09774938	44.079876	-1.9612045	0	0	1.8703227	0.0	1.849481	0.009284809	180000	686.338873386383
6	5.034485	2.5015492	11.376977	-0.55030394	33.78	19.002937	93.0	0.0	300.0	22547.0	0.10736666666666667	1.3995168	0.4803763	2.8999536	0.2863835	11.868886	3.6690412	27.80341	2.4532988	2.8483074e-08	-0.010093398	1.6276042e-08	-0.0001635498	0.54338837	-0.08751488	39.230984	-2.2238655	0	0	1.9606907	0.0	1.8459078	0.008701563	210000	813.7468526363373
7	4.842661	2.181109	10.382151	-0.66165656	30.98	20.04494	93.0	0.0	300.0	25645.0	0.10685416666666667	1.5721933	0.54772055	3.1098838	0.32152495	11.5864105	3.8648615	29.764963	2.0434895	0.0	-0.009411312	-2.4414062e-08	-0.0009161133	0.5127367	-0.066182375	38.008507	-2.4267082	0	0	2.1058815	0.0	1.8332239	0.008965296	240000	940.551525592804
8	5.7998247	2.1680043	12.060815	1.1916802	32.94	18.698032	104.0	0.0	300.0	28939.0	0.10718148148148147	1.6897751	0.54458755	3.2038255	0.17852925	11.152498	3.5661473	27.983288	1.9376097	-8.138021e-09	-0.010046623	-5.493164e-08	0.0068142456	0.6829339	-0.14601094	42.87352	-3.0242043	0	0	1.9709115	0.0	1.8160222	0.008864381	270000	1067.4025647640228
9	6.4248896	2.277229	12.859219	1.4163892	30.65	16.28949	100.0	5.0	300.0	32004.0	0.10668	1.9484622	0.51366854	3.3541834	0.32080084	11.127607	3.4425178	28.763403	3.8894134	1.93278e-08	-0.009731493	1.2207031e-08	0.001407548	0.5910462	-0.07185179	29.923971	-2.6555595	0	0	2.0298762	0.0	1.795187	0.009346023	300000	1194.7711386680603
10	6.569438	2.4343586	13.9114065	-0.41005427	32.07	15.879077	83.0	0.0	300.0	35211.0	0.1067	2.1113694	0.54133344	3.844301	0.25938967	11.079179	3.3270977	28.95619	3.5518916	4.0690105e-09	-0.008419486	4.0690105e-09	0.0001764567	0.6424188	-0.07914585	32.28851	-2.5153923	0	0	2.3498232	0.0	1.7713774	0.009314722	330000	1321.4424848556519
11	7.8394203	2.588593	14.178543	-0.4185454	31.0	16.902071	84.0	0.0	300.0	38311.0	0.10641944444444444	2.2975636	0.6111966	4.0482655	0.046667535	11.032833	3.1965187	27.363083	3.7167416	0.0	-0.008515099	-2.4414062e-08	0.002786849	0.79488885	-0.143363	31.780474	-3.1788845	0	0	2.2573013	0.0	1.755002	0.008247302	360000	1448.4658529758453
12	8.015881	2.9016066	15.201461	-0.24810201	31.12	16.519249	85.0	0.0	300.0	41423.0	0.10621282051282051	2.6143932	0.6524767	4.585234	-0.056762084	10.722487	3.4830263	27.729406	1.4056798	1.5513102e-08	-0.008604034	-2.6448568e-08	0.0020384868	0.7509516	-0.09229183	30.708414	-4.5276756	0	0	2.3343322	0.0	1.7483317	0.008523697	390000	1575.6645436286926
13	8.216722	2.554756	15.226171	-0.79252654	30.58	13.955772	66.0	0.0	300.0	44481.0	0.10590714285714285	2.7246437	0.6741065	4.525233	-0.30266488	10.308432	2.6151824	25.413195	2.1914983	0.0	-0.008789815	8.138021e-09	0.00013494873	0.66720104	-0.06898922	27.779716	-2.7023582	0	0	2.2996502	0.0	1.7451231	0.009720733	420000	1703.0971920490265
14	8.817644	2.3369017	14.272772	0.97873825	31.16	14.446259	68.0	0.0	300.0	47597.0	0.10577111111111111	2.872727	0.62589324	4.417185	0.17041218	10.647912	2.580563	23.33523	1.4572413	4.0690105e-09	-0.008886316	-1.2207031e-08	0.0050987913	0.6233216	-0.07934767	24.919025	-2.4209995	0	0	2.3002763	0.0	1.7180461	0.009985518	450000	1830.222883939743
15	9.24984	2.4884453	14.666306	2.3738425	32.97	15.460566	68.0	2.0	300.0	50894.0	0.10602916666666666	3.0642438	0.6334316	4.379547	-0.052680105	10.588067	2.8830104	25.06636	1.2980258	2.0345052e-09	-0.009588014	1.6276042e-08	0.0007803243	0.65605706	-0.08383715	26.93575	-2.8459358	0	0	2.0956323	0.0	1.6890364	0.009463717	480000	1957.1420590877533
