Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	8.264762	16.0	102	1456.004442691803
0	1	9.915711	5.0	203	1548.1871733665466
0	2	11.475218	6.0	304	1641.5090732574463
0	3	16.779016	7.0	408	1735.067146539688
0	4	14.004163	0.0	511	1810.6729009151459
0	5	16.107794	13.0	614	1886.31884932518
0	6	11.275345	3.0	716	1961.2203216552734
0	7	12.586313	32.0	817	2036.5832350254059
0	8	17.067427	7.0	920	2114.109267950058
0	9	8.56215	8.0	1022	2194.975011110306
1	10	11.336706	3.0	1124	2820.4270474910736
1	11	15.608636	1.0	1226	2911.8411526679993
1	12	10.5593	27.0	1327	3000.8087289333344
1	13	17.748928	12.0	1428	3092.824296236038
1	14	12.13635	2.0	1530	3185.5391306877136
1	15	8.0132265	3.0	1631	3267.378752231598
1	16	13.252326	9.0	1734	3349.3106248378754
1	17	12.005968	15.0	1836	3431.7659969329834
1	18	19.812447	0.0	1940	3513.2185757160187
1	19	12.894076	3.0	2042	3591.6840579509735
2	20	1.2652094	9.0	2142	4258.488079547882
2	21	16.995321	2.0	2245	4343.284047603607
2	22	18.329884	2.0	2349	4430.064479112625
2	23	12.758209	16.0	2450	4514.281724452972
2	24	8.478388	19.0	2551	4596.539241075516
2	25	19.913038	2.0	2655	4677.315574884415
2	26	3.010078	4.0	2756	4759.176220178604
2	27	11.509932	11.0	2857	4836.585925579071
2	28	16.229311	3.0	2959	4914.0498723983765
2	29	13.389964	17.0	3060	4989.75533080101
3	30	15.214993	11.0	3161	5463.79300737381
3	31	15.879854	5.0	3264	5552.52373790741
3	32	17.746347	0.0	3366	5635.7759375572205
3	33	4.120496	2.0	3466	5716.7808265686035
3	34	10.688611	3.0	3569	5795.515104293823
3	35	15.756417	11.0	3672	5877.447469711304
3	36	14.8792715	4.0	3773	5958.452080011368
3	37	12.848295	12.0	3875	6051.197507619858
3	38	12.049557	26.0	3977	6142.021775960922
3	39	5.5174456	17.0	4078	6235.705517292023
4	40	15.860351	6.0	4180	6872.283529043198
4	41	16.107988	0.0	4283	6960.123695373535
4	42	13.327416	7.0	4384	7043.362733125687
4	43	9.858582	2.0	4486	7122.635188817978
4	44	18.088173	3.0	4588	7203.4432990550995
4	45	15.069355	8.0	4689	7284.523136138916
4	46	18.123415	6.0	4791	7366.08652305603
4	47	16.737696	4.0	4895	7460.409450769424
4	48	18.767986	11.0	4998	7554.630200147629
4	49	11.800618	0.0	5100	7649.430954694748
5	50	3.3098626	3.0	5201	8016.344413757324
5	51	18.611576	5.0	5305	8104.830614089966
5	52	0.7788208	0.0	5405	8206.992903470993
5	53	18.36901	9.0	5508	8311.330726623535
5	54	18.35061	3.0	5610	8409.374089479446
5	55	13.378996	14.0	5712	8492.441843271255
5	56	15.767024	0.0	5813	8574.255229711533
5	57	17.681072	2.0	5916	8659.242859840393
5	58	19.378382	4.0	6020	8746.405284643173
5	59	18.078194	5.0	6121	8828.622087955475
6	60	16.384962	0.0	6225	9435.682608366013
6	61	13.754843	7.0	6326	9522.130701065063
6	62	15.794866	11.0	6428	9611.596832990646
6	63	15.893444	3.0	6530	9713.46831035614
6	64	13.659861	7.0	6633	9809.32142829895
6	65	18.273968	8.0	6735	9901.850678682327
6	66	13.368816	16.0	6837	9993.466012716293
6	67	12.157359	9.0	6939	10072.786358594894
6	68	5.4901834	6.0	7040	10147.139560699463
6	69	14.020112	7.0	7142	10224.819077968597
7	70	17.992426	2.0	7245	10685.13087630272
7	71	16.754082	1.0	7347	10786.728780269623
7	72	9.162242	7.0	7448	10877.445415496826
7	73	15.463011	0.0	7551	10964.538486242294
7	74	17.448633	4.0	7654	11048.585412979126
7	75	19.521938	4.0	7757	11133.871412754059
7	76	7.7866607	39.0	7858	11211.34870481491
7	77	18.703785	0.0	7962	11289.281015396118
7	78	19.962507	0.0	8066	11367.742022514343
7	79	16.156212	2.0	8169	11446.18952012062
8	80	16.241394	6.0	8272	11912.765573740005
8	81	16.50441	4.0	8375	12008.169776916504
8	82	14.791122	19.0	8477	12112.132607460022
8	83	14.819845	3.0	8578	12214.561938285828
8	84	5.956698	11.0	8679	12318.640244960785
8	85	16.100582	7.0	8781	12429.661407232285
8	86	17.254116	3.0	8885	12537.180896997452
8	87	16.513025	6.0	8988	12632.192201852798
8	88	17.068308	0.0	9092	12720.318033456802
8	89	15.236893	16.0	9195	12801.541495323181
9	90	17.783363	6.0	9299	13408.183042764664
9	91	17.470917	0.0	9403	13494.239959001541
9	92	11.135637	15.0	9505	13579.653241157532
9	93	16.756943	4.0	9608	13667.692415714264
9	94	18.10534	7.0	9711	13754.760483026505
9	95	17.03626	4.0	9815	13839.169883012772
9	96	18.527702	4.0	9918	13924.385249137878
9	97	13.734816	7.0	10020	14008.36276960373
9	98	15.987921	0.0	10124	14089.562472343445
9	99	19.579163	0.0	10227	14169.561068534851
10	100	18.261965	3.0	10330	14670.13556098938
10	101	16.196445	5.0	10432	14767.225567817688
10	102	16.505579	5.0	10535	14862.643644571304
10	103	18.063948	3.0	10638	14943.018093585968
10	104	14.530055	4.0	10741	15027.586087226868
10	105	17.479364	14.0	10843	15110.271185398102
10	106	2.514223	0.0	10944	15191.390772104263
10	107	18.390469	0.0	11048	15290.917026519775
10	108	16.621674	0.0	11150	15390.61475777626
10	109	17.605408	13.0	11254	15491.897111177444
11	110	19.16863	2.0	11357	16039.053402662277
11	111	16.78861	4.0	11459	16121.811940908432
11	112	18.259808	1.0	11562	16205.750869512558
11	113	17.476612	4.0	11664	16287.529822826385
11	114	18.344883	2.0	11766	16368.664565324783
11	115	17.53733	5.0	11868	16457.143862962723
11	116	16.7254	9.0	11971	16549.772181749344
11	117	17.77588	3.0	12073	16641.428020000458
11	118	16.831581	3.0	12175	16733.523602247238
11	119	15.488561	13.0	12276	16823.55832386017
12	120	17.293112	1.0	12379	17396.89368534088
12	121	20.556824	6.0	12483	17480.55376267433
12	122	17.025536	5.0	12586	17560.2760951519
12	123	19.085346	4.0	12689	17640.9705824852
12	124	15.729444	2.0	12792	17732.98007416725
12	125	18.870056	4.0	12894	17834.109941720963
12	126	19.155657	3.0	12997	17935.579216480255
12	127	15.693672	16.0	13100	18037.85725045204
12	128	18.615206	1.0	13202	18138.692863464355
12	129	18.463959	4.0	13305	18227.22522377968
13	130	18.70076	10.0	13410	18590.190771579742
13	131	17.475426	6.0	13512	18673.39610362053
13	132	19.265987	5.0	13616	18754.20683836937
13	133	19.055445	3.0	13718	18833.542331695557
13	134	12.987582	7.0	13819	18910.944648504257
13	135	17.558369	5.0	13922	18990.287853956223
13	136	0.4772949	8.0	14022	19067.05761742592
13	137	16.877207	6.0	14124	19147.60286307335
13	138	14.79817	6.0	14227	19242.39216184616
13	139	16.37262	8.0	14329	19346.077270030975
14	140	18.915333	2.0	14431	19856.384395599365
14	141	16.499958	6.0	14533	19938.51934504509
14	142	18.413874	5.0	14635	20019.139914035797
14	143	16.523697	6.0	14737	20102.141815423965
14	144	13.659672	7.0	14839	20197.766013383865
14	145	16.905142	4.0	14942	20290.709948778152
14	146	15.801927	0.0	15046	20383.292943239212
14	147	16.257093	11.0	15149	20473.71368432045
14	148	16.414776	0.0	15253	20572.471865177155
14	149	16.927935	9.0	15354	20669.61945271492
15	150	16.850016	8.0	15457	21185.570907592773
15	151	19.565691	6.0	15560	21269.907235622406
15	152	17.186686	0.0	15663	21353.167678833008
15	153	16.16228	0.0	15765	21436.967728853226
15	154	11.335974	21.0	15867	21518.52747297287
15	155	17.412811	12.0	15970	21601.274329662323
15	156	6.9438486	2.0	16071	21683.121579408646
15	157	16.085543	3.0	16173	21778.466603279114
15	158	18.95078	1.0	16275	21878.79217147827
15	159	9.448492	3.0	16377	21980.806923151016
16	160	13.986794	2.0	16480	22427.765465021133
16	161	16.518267	5.0	16583	22508.005431175232
16	162	16.546907	5.0	16685	22585.779111862183
16	163	16.58793	0.0	16787	22667.08495736122
16	164	17.185766	7.0	16888	22756.887718200684
16	165	18.024399	0.0	16990	22847.43337702751
16	166	17.243849	5.0	17092	22937.06556081772
16	167	13.941727	1.0	17194	23028.250124692917
16	168	13.988204	3.0	17296	23127.884310007095
16	169	17.202948	2.0	17398	23227.047624588013
17	170	18.397768	0.0	17501	23675.648713588715
17	171	18.874798	0.0	17604	23760.035557746887
17	172	17.384632	4.0	17706	23841.85563325882
17	173	16.257324	2.0	17809	23925.152463674545
17	174	15.492772	4.0	17911	24007.32231426239
17	175	17.333908	5.0	18013	24102.893935918808
17	176	3.857811	19.0	18113	24197.16468000412
17	177	18.647125	9.0	18216	24294.768209457397
17	178	18.741823	5.0	18319	24391.6458837986
17	179	16.073914	8.0	18422	24489.038651943207
18	180	18.145319	5.0	18525	24907.98738884926
18	181	17.356508	8.0	18628	24996.23277926445
18	182	19.272709	6.0	18731	25080.02017736435
18	183	18.115555	0.0	18833	25165.790378808975
18	184	13.609514	0.0	18935	25255.11043906212
18	185	13.506301	9.0	19037	25348.74462723732
18	186	17.021711	5.0	19140	25443.680639743805
18	187	16.574417	1.0	19242	25529.25122976303
18	188	17.464943	0.0	19345	25613.555470466614
18	189	15.574071	7.0	19447	25697.925268411636
19	190	19.135572	0.0	19550	26381.30823111534
19	191	18.114172	1.0	19652	26468.923326730728
19	192	19.60205	0.0	19754	26551.351141691208
19	193	17.528708	3.0	19856	26646.94141292572
19	194	17.773106	3.0	19958	26743.61815905571
19	195	17.282223	7.0	20060	26840.97987484932
19	196	19.083689	0.0	20164	26941.311586618423
19	197	16.753265	2.0	20267	27028.370617628098
19	198	19.012133	5.0	20368	27109.60418367386
19	199	8.51496	4.0	20469	27193.45800805092
20	200	19.350544	7.0	20572	27593.247126579285
20	201	11.796798	18.0	20674	27697.891602516174
20	202	17.699444	10.0	20775	27789.521523952484
20	203	9.951086	3.0	20877	27874.22880744934
20	204	12.764114	5.0	20979	27958.678861379623
20	205	17.278595	3.0	21082	28039.97918176651
20	206	15.882633	1.0	21185	28119.62477493286
20	207	8.015028	48.0	21286	28196.536814451218
20	208	16.344059	15.0	21388	28273.882738351822
20	209	16.486925	2.0	21491	28353.84940314293
21	210	14.755073	7.0	21592	28822.478012800217
21	211	18.777405	11.0	21695	28922.577332019806
21	212	17.46626	3.0	21798	29024.970289230347
21	213	16.31866	9.0	21900	29126.81941461563
21	214	17.174791	1.0	22001	29224.86430954933
21	215	19.002382	2.0	22105	29319.455060958862
21	216	16.649971	5.0	22207	29409.326105117798
21	217	21.015244	2.0	22311	29493.986474514008
21	218	18.492	3.0	22415	29571.697699546814
21	219	17.183365	8.0	22517	29647.982929229736
22	220	15.712535	6.0	22620	30122.731292963028
22	221	17.69801	5.0	22723	30209.884063243866
22	222	14.310988	12.0	22825	30292.11964917183
22	223	17.600965	0.0	22928	30374.072808742523
22	224	16.156189	4.0	23030	30455.68223643303
22	225	15.812879	4.0	23132	30534.70926308632
22	226	15.570331	5.0	23235	30611.526796340942
22	227	17.84574	1.0	23339	30688.13524031639
22	228	20.547277	0.0	23442	30766.251968860626
22	229	16.233921	5.0	23545	30844.50538253784
23	230	20.27847	2.0	23648	31236.700051784515
23	231	17.809353	2.0	23750	31319.09278202057
23	232	17.020338	2.0	23853	31410.122485637665
23	233	16.239859	6.0	23956	31513.417516946793
23	234	19.285664	1.0	24060	31614.314382314682
23	235	18.61571	1.0	24162	31713.473545074463
23	236	14.980923	3.0	24264	31814.722675800323
23	237	13.100445	21.0	24365	31904.210770130157
23	238	11.182403	0.0	24467	31996.66088938713
23	239	15.957095	2.0	24569	32089.895988225937
24	240	20.820757	3.0	24673	32849.36744403839
24	241	18.93907	4.0	24777	32928.214852809906
24	242	17.767221	8.0	24879	33009.85621857643
24	243	16.598831	1.0	24982	33094.15584564209
24	244	0.69568074	4.0	25082	33179.87788963318
24	245	14.690249	10.0	25184	33258.76863884926
24	246	17.411522	3.0	25286	33339.92853116989
24	247	18.072958	0.0	25389	33420.87301301956
24	248	17.76979	0.0	25492	33498.518790245056
24	249	17.18701	2.0	25594	33575.132863759995
25	250	4.7999635	4.0	25695	34341.21325922012
25	251	13.435379	0.0	25798	34432.88821554184
25	252	18.473946	2.0	25901	34516.98069882393
25	253	15.511485	10.0	26003	34611.38693070412
25	254	19.47653	3.0	26107	34706.26086807251
25	255	18.662182	2.0	26209	34799.229575395584
25	256	18.198652	2.0	26311	34883.69994139671
25	257	18.08247	3.0	26414	34961.82088136673
25	258	17.645737	3.0	26516	35045.93407845497
25	259	18.32378	0.0	26619	35129.721439123154
26	260	17.506565	6.0	26721	35528.985674381256
26	261	16.38334	5.0	26824	35619.591989040375
26	262	12.243652	0.0	26927	35705.65131473541
26	263	19.032053	2.0	27031	35786.52292585373
26	264	14.972937	3.0	27133	35866.80385231972
26	265	15.810734	6.0	27237	35947.78759050369
26	266	14.409318	2.0	27340	36028.445724487305
26	267	14.089734	3.0	27441	36111.53457355499
26	268	8.330745	1.0	27542	36200.17946124077
26	269	18.030666	2.0	27643	36287.49267053604
27	270	20.118074	0.0	27746	37093.10100913048
27	271	17.975784	7.0	27849	37187.100233078
27	272	17.799353	0.0	27953	37272.356580495834
27	273	13.733084	0.0	28055	37357.78774356842
27	274	14.464128	11.0	28157	37441.99273610115
27	275	15.65744	9.0	28258	37525.14038038254
27	276	17.608807	3.0	28362	37609.11161160469
27	277	19.10767	4.0	28465	37694.53392314911
27	278	17.644745	5.0	28566	37777.46186566353
27	279	17.75502	3.0	28671	37865.119269132614
28	280	18.838596	0.0	28773	38423.63750100136
28	281	19.584389	0.0	28877	38478.098113536835
28	282	19.796997	0.0	28981	38532.77204370499
28	283	18.191261	7.0	29083	38593.1073346138
28	284	16.144905	2.0	29184	38653.17913031578
