Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	-0.16388874	2.7479932	7.006403	-3.9993927	8.46	11.131414	43.0	0.0	300.0	22070.0	0.049044444444444446	-0.099590614	0.76060927	2.6853955	-2.5629294	1.6916385	2.9060264	18.077051	-2.1165564	-9.060405e-09	-0.011882487	-2.0345052e-08	-0.018175839	0.26568937	-0.047424957	9.917125	-1.3618107	1.4339104	0.027428508	1.7153006	0.0	1.7882504	0.008426948	450000	1612.2586591243744
15	0.56318945	2.901733	12.047783	-3.477049	7.25	11.017599	47.0	0.0	300.0	22795.0	0.047489583333333335	-0.059540935	0.7302385	2.3070836	-2.7738514	1.5486797	2.5825086	16.525225	-1.5691916	-7.4381905e-09	-0.007706206	-1.3224284e-08	-0.012223373	0.39824846	-0.07961482	7.693471	-0.9952855	1.4613389	0.026646614	1.977681	1.0	1.790035	0.0060776123	480000	1713.3849425315857
16	0.025535416	2.476682	6.70581	-4.0115643	6.75	10.452153	58.0	0.0	300.0	23470.0	0.04601960784313725	-0.005148605	0.7671565	2.8873591	-3.0404565	1.5734651	2.6482832	18.177856	-1.3946122	2.7279152e-09	-0.008891201	6.612142e-09	-0.0127942655	0.327502	-0.05659944	7.480944	-1.2037358	1.4879855	0.025812268	2.1411986	0.0	1.7895249	0.0086930515	510000	1814.6260418891907
17	0.07006038	2.5622056	7.0214405	-3.640617	6.49	9.693808	46.0	0.0	300.0	24119.0	0.04466481481481482	-0.021368412	0.7885275	2.6117477	-2.8256922	1.1135002	1.9326448	13.896677	-1.7919636	-6.3226e-09	-0.0072931983	-9.155274e-09	-0.0101003945	0.28973112	-0.052606955	7.3390694	-0.8884015	1.5137978	0.024997473	2.2458162	1.0	1.7845234	0.0059287813	540000	1915.7912981510162
18	0.43638024	2.709141	7.967556	-4.0255756	6.99	10.960379	53.0	0.0	300.0	24818.0	0.04354035087719298	0.062882975	0.7597976	2.7886834	-2.6354337	1.4334784	2.3469598	16.48153	-1.9026155	-2.003416e-10	-0.010161371	0.0	-0.01630187	0.3573658	-0.063587785	8.699699	-1.4017725	1.5387952	0.024449348	1.9023916	0.0	1.7846805	0.007481279	570000	2021.050166130066
19	0.6895656	3.159941	8.487361	-3.9717605	4.99	8.255295	38.0	0.0	300.0	25317.0	0.042195	0.1230431	0.77509695	2.9262881	-2.6133804	1.3467973	2.1898386	16.143534	-1.7448386	-8.9411994e-10	-0.008442014	-4.0690105e-09	-0.013421415	0.4166724	-0.09930229	5.408843	-1.3544741	1.5632446	0.023284912	2.4483294	0.0	1.7814035	0.008909402	600000	2127.0848405361176
20	0.3991853	2.7141087	8.649043	-3.9027529	4.64	6.53838	25.0	0.0	300.0	25781.0	0.04092222222222222	0.19886775	0.7919579	2.7866578	-2.760977	1.1857518	1.7026207	12.0033245	-1.6574757	-5.0182005e-09	-0.0072452445	-3.0517577e-09	-0.0086961845	0.3934319	-0.11002663	3.6276324	-0.5958781	1.5865295	0.022108555	2.6871982	0.0	1.7815461	0.0080878455	630000	2228.586443424225
21	0.55754966	2.8427308	9.484212	-3.9166436	6.14	9.492123	44.0	0.0	300.0	26395.0	0.03999242424242424	0.08826425	0.79858565	2.6384728	-3.4002523	1.1110797	1.6595834	9.357088	-0.97962815	-3.2890994e-09	-0.008941866	-4.0690105e-09	-0.013398313	0.42859212	-0.080631495	8.065803	-1.6172323	1.608638	0.021594167	2.1031983	0.0	1.7860126	0.007970359	660000	2329.3167250156403
22	0.4775098	2.8019366	8.94723	-3.9328442	6.68	10.467932	54.0	0.0	300.0	27063.0	0.03922173913043478	0.13641791	0.80047774	2.9008157	-2.8889458	1.2541182	1.8857129	10.934146	-1.683201	-4.0690105e-09	-0.010015681	-4.0690105e-09	-0.014362777	0.37077945	-0.068491876	8.205917	-1.8205028	1.6302322	0.021343112	1.9880657	0.0	1.7817653	0.0075519644	690000	2430.504414319992
23	0.371899	3.03657	7.5997725	-4.2489357	5.01	9.20054	46.0	0.0	300.0	27564.0	0.038283333333333336	0.15723395	0.78363746	2.937217	-2.980655	1.2537572	1.9656043	17.500076	-1.287259	3.8364084e-10	-0.008278213	0.0	-0.012699943	0.47565043	-0.09086737	5.532656	-1.0106258	1.6515753	0.02051258	2.3716152	0.0	1.7820739	0.008078861	720000	2531.6911976337433
