Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	5.1439424	4.791846	21.536642	-1.7070843	11.965	8.674893	33.0	0.0	150.0	27154.0	0.07542777777777777	2.5731907	1.659156	6.9620996	-1.5521597	7.0036826	2.9417155	18.820417	-1.5936549	-9.155274e-09	-0.0056466633	0.0	-0.013015218	3.7305143	-0.26969314	11.841337	-0.74387455	0.7719558	0.0	0.008182637	0.012479073	0.013100001	0.010334027	-0.0070064045	0.022817671	0.8097584	0.7719558	1.0	0.0	0.0	1.8407567	0.008889307	360000	2328.7540662288666
12	5.352703	5.138191	19.841948	-1.8174781	11.625	8.567052	42.0	0.0	150.0	29479.0	0.07558717948717948	2.9289656	1.6217338	6.159322	-1.703697	7.334127	2.8024929	18.304052	-0.66313875	-2.4414062e-08	-0.006665869	2.0345052e-09	-0.009763063	3.9508011	-0.33278203	10.707465	-0.72763157	0.6420323	0.0	0.0071980306	0.014219328	0.010833333	0.008595737	-0.0053269775	0.020302331	0.71148753	0.6420323	1.0	0.0	0.0	1.8143289	0.009223893	390000	2522.4032962322235
13	6.2145033	5.621802	26.003428	-1.7795534	11.365	8.464147	42.0	0.0	150.0	31752.0	0.0756	3.2523923	1.8583753	7.1161456	-1.9290571	7.0969563	3.0440354	19.374052	-1.9895545	8.138021e-09	-0.005900356	-2.1362304e-08	-0.0074054697	4.989127	-0.42275715	10.326746	-0.85941696	0.59547615	0.0	0.0058408887	0.016138654	0.0090999985	0.008323014	-0.0072959824	0.02144588	0.6015972	0.59547615	1.0	0.0	1.0	1.8143836	0.00678135	420000	2715.7479877471924
14	7.774658	5.9960175	27.12589	-1.154461	11.705	8.424843	45.0	0.0	150.0	34093.0	0.07576222222222222	3.9907453	1.8421737	7.4930887	-1.6265808	7.501381	2.7395706	19.784573	-0.7568509	7.629395e-09	-0.006326069	4.0690105e-09	-0.011029221	5.836116	-0.5894847	9.437321	-0.8792267	0.75325406	0.0	0.006602381	0.012630664	0.011366666	0.008021586	-0.0049881726	0.017532257	0.72299814	0.75325406	1.0	0.0	0.0	1.7899997	0.009144171	450000	2909.845955848694
15	7.4644313	6.168544	21.524208	-1.9177392	11.98	8.319832	40.0	0.0	150.0	36489.0	0.07601875	4.431371	2.132843	8.313308	-1.4775661	7.4155207	2.7426276	19.217415	-1.6608186	-4.0690105e-09	-0.005605733	4.0690105e-09	-0.012847603	5.531244	-0.43840408	10.933632	-1.1305313	0.7724735	0.0	0.0075941924	0.01238172	0.013199997	0.009943231	-0.0073297718	0.022871295	0.7831597	0.7724735	1.0	0.0	0.0	1.7755419	0.00919037	480000	3103.653493642807
16	8.837654	6.7516723	26.559904	-1.7072897	11.89	9.1830225	47.0	0.0	150.0	38867.0	0.07620980392156863	4.963875	2.182185	8.8648205	-1.505272	7.836394	2.8030522	20.133207	-0.02582202	-6.1035155e-09	-0.008880137	-1.6276042e-08	-0.011328424	6.368346	-0.6684284	11.933094	-1.1453876	0.66417676	0.0	0.010143159	0.012857307	0.012600002	0.0107169645	-0.0035712637	0.022226917	0.8882018	0.66417676	1.0	0.0	0.0	1.7467167	0.009329161	510000	3297.7978217601776
17	9.093191	6.625739	25.748453	-2.1812994	11.37	7.8066063	40.0	0.0	150.0	41141.0	0.07618703703703704	5.6139812	2.4465587	9.62261	-2.3606646	7.6764655	2.6906333	20.51779	-0.8172564	4.0690105e-09	-0.0058268434	-2.0345052e-08	-0.0071096923	7.098397	-0.47931576	9.140117	-1.0427809	0.52836883	0.0	0.0056431685	0.015822757	0.009133332	0.006944053	-0.005096873	0.019969577	0.5972009	0.52836883	1.0	0.0	1.0	1.6980913	0.0066738394	540000	3492.573493003845
18	9.254324	7.0012116	28.53228	-1.5425525	10.98	8.098741	36.0	0.0	150.0	43337.0	0.0760298245614035	5.828453	2.6439383	10.163131	-1.7682879	7.5134897	2.5562906	18.628838	-1.7080939	8.138021e-09	-0.005714858	1.6276042e-08	-0.006799227	7.1514993	-0.56863356	10.071936	-1.0031624	0.5892471	0.0	0.0033828467	0.017589329	0.0065333303	0.006617782	-0.0075683026	0.017706444	0.43854737	0.5892471	1.0	0.0	0.0	1.6999037	0.009139405	570000	3690.129695892334
19	10.712795	6.5936694	30.65416	-1.4918703	12.415	7.889409	43.0	0.0	150.0	45820.0	0.07636666666666667	6.5681753	2.3989635	10.862693	-1.2125044	7.6643453	2.422076	18.201319	0.55326426	-8.138021e-09	-0.0022187664	-4.0690105e-09	-0.017125623	7.81883	-0.7302437	10.390908	-0.7614374	1.0420469	0.0	0.0063161254	0.007199939	0.0161	0.008107306	-0.0060226773	0.020250684	0.9366147	1.0420469	1.0	0.0	0.0	1.6712031	0.009692513	600000	3889.0219190120697
20	9.912632	6.5160303	25.305098	-1.7876492	10.935	7.3777213	37.0	0.0	150.0	48007.0	0.0762015873015873	6.7269483	2.4553485	11.208402	-1.6590303	7.7300067	2.4792829	19.555492	-0.3111373	1.8310548e-08	-0.006217642	1.8310548e-08	-0.006789931	7.649399	-0.6285596	9.900079	-1.0572662	0.6131781	0.0	0.0047071	0.017606655	0.006233336	0.0074983495	-0.006731583	0.01623438	0.5170568	0.6131781	1.0	0.0	1.0	1.6734896	0.0072661703	630000	4083.556946992874
