Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	0.8483729	2.9218483	9.102359	-4.5304074	8.64	11.540814	58.0	0.0	300.0	22036.0	0.04896888888888889	0.17830688	0.7561362	2.3639867	-2.4776654	2.2052774	3.2377741	19.852047	-2.6712718	5.592747e-10	-0.010847252	-6.1035155e-09	-0.017694393	0.34012422	-0.06713781	11.095331	-1.0033665	1.4428266	0.029593706	1.8008324	0.0	1.7801254	0.008313539	450000	1284.8829839229584
15	0.42959163	2.5527916	7.076722	-4.1413364	5.35	8.616699	40.0	0.0	300.0	22571.0	0.047022916666666664	0.17086855	0.76260364	2.3886466	-3.0126307	1.7227706	2.5908473	18.96861	-1.7280123	1.7745919e-08	-0.0076637776	3.2043456e-08	-0.012483614	0.3158259	-0.064815074	8.131395	-1.7628245	1.4724203	0.028585315	2.4988263	0.0	1.7838838	0.008103171	480000	1368.4795320034027
16	0.56682456	2.651627	9.13591	-3.9651845	7.14	10.237207	46.0	0.0	300.0	23285.0	0.04565686274509804	0.031131135	0.7537668	2.634865	-2.5789375	1.4145701	1.9863478	15.275042	-1.2153356	-7.734555e-09	-0.0081434455	-1.6276042e-08	-0.011884654	0.4547595	-0.08259055	7.750571	-0.93688774	1.5010056	0.02817738	2.3663106	0.0	1.802454	0.008384805	510000	1456.589141368866
17	0.17332995	2.4212976	6.4548955	-3.6184843	5.94	8.640393	42.0	0.0	300.0	23879.0	0.04422037037037037	0.07583074	0.7154071	2.8152685	-3.0309634	1.2080591	2.0032258	14.7308655	-1.393177	4.02206e-09	-0.007610338	0.0	-0.009734214	0.3484018	-0.060478896	5.9086947	-0.97034264	1.529183	0.027524829	2.4169517	0.0	1.7854404	0.00952608	540000	1545.7842812538147
18	0.83677846	2.5943408	7.807722	-3.663456	5.54	9.365276	42.0	0.0	300.0	24433.0	0.04286491228070175	0.09225757	0.6993546	2.606837	-3.242696	1.3106961	2.1461356	16.310343	-2.178177	3.3183838e-09	-0.009945435	6.1035155e-09	-0.016539758	0.4453673	-0.08607069	7.2422776	-1.0696015	1.5567079	0.026852012	1.9584649	0.0	1.767601	0.0077517135	570000	1632.0371446609497
19	0.901898	2.9751482	9.679016	-3.599599	5.53	8.155312	42.0	0.0	300.0	24986.0	0.04164333333333333	0.2317706	0.7145041	2.4806008	-3.0186687	1.3108263	1.9242443	12.579682	-1.3506024	-3.4131324e-09	-0.007833054	-8.138021e-09	-0.010745707	0.4945075	-0.08135462	4.9706926	-0.6529069	1.5835599	0.026264787	2.4212508	0.0	1.7557429	0.008450407	600000	1715.6653532981873
20	1.2750549	3.3304863	8.218675	-3.4688919	6.44	9.194911	46.0	0.0	300.0	25630.0	0.04068253968253968	0.26767328	0.73991877	2.7944772	-2.6828609	1.3606455	1.8911791	12.328412	-0.91589755	1.0952082e-08	-0.008424388	1.0172526e-08	-0.011069458	0.5622212	-0.1782763	6.6096354	-0.6837168	1.6098247	0.026019096	2.3515983	0.0	1.7471786	0.009366809	630000	1799.4910488128662
21	1.0120571	3.0546045	8.904876	-4.8207603	6.01	9.768823	46.0	0.0	300.0	26231.0	0.039743939393939394	0.29277247	0.88086754	3.1631844	-2.8064744	1.4112021	2.1439471	13.88603	-1.765973	2.384749e-09	-0.009050779	5.086263e-09	-0.013200051	0.55592453	-0.13149655	8.293011	-1.3170843	1.6358438	0.025701046	2.01446	0.0	1.7348042	0.00859762	660000	1883.315369129181
22	1.542049	3.1749299	9.400262	-3.7024891	6.78	9.178867	48.0	0.0	300.0	26909.0	0.03899855072463768	0.34242982	0.8800915	3.0535612	-3.3095186	1.6193721	2.33819	16.037817	-2.2255485	1.2818432e-09	-0.010170563	-4.0690105e-09	-0.014647353	0.749017	-0.16850692	7.4706883	-1.1900139	1.6615448	0.025665522	1.9415666	0.0	1.696434	0.008568827	690000	1966.9690318107605
23	0.95321566	3.2613826	12.121439	-4.7137437	5.65	9.380166	61.0	0.0	300.0	27474.0	0.038158333333333336	0.3987355	0.91633224	3.2757347	-3.4897287	1.4607834	1.819574	13.2085905	-1.6141108	-5.6695293e-10	-0.008683216	-8.138021e-09	-0.012648937	0.6707927	-0.13303995	7.083087	-1.5712032	1.6872103	0.025324225	2.2707074	0.0	1.7018671	0.009013855	720000	2055.6906893253326
